,client_code,KRA YN,IsKarvy,cm_sex,IncomePA,IsDormant,E2Channel,age,months_since_last_login,months_since_last_futures_trade,months_since_last_options_trade,months_since_last_intraday_trade,months_since_last_delivery_trade,THV,ALB,Z20,total_logins_one_year,total_trades_one_year,target
3931,57099238,Y,0.0,M,<=1L,N,CAT,41.0,0.1559058472985603,132.0,132.0,3.0142807625945625,132.0,0.0,0.79,1.0,333.0,16.0,0.0
3967,92982041,N,0.0,F,<=1L,N,CAT,29.0,2.685731921755941,132.0,132.0,2.9485709944268383,2.882861226259114,0.0,-113.65,1.0,225.0,24.0,0.0
4150,74886031,N,0.0,M,<=1L,N,CAT,22.0,2.8171514580913897,132.0,132.0,3.0142807625945625,3.0142807625945625,0.0,0.55,1.0,25.0,15.0,0.0
4171,10459970,Y,0.0,M,<=1L,N,CAT,24.0,0.4844546881371813,132.0,132.0,132.0,3.0142807625945625,0.0,0.45,1.0,23.0,3.0,0.0
4203,31523514,Y,0.0,M,<=1L,N,CAT,20.0,2.6200221535882173,132.0,132.0,132.0,2.7185868058398035,0.0,-29.19,1.0,15.0,3.0,0.0
4302,95431258,N,0.0,M,<=1L,N,CAT,22.0,2.784296574007528,132.0,132.0,132.0,2.7514416899236656,0.0,-65.47,1.0,20.0,5.0,0.0
4372,46684175,Y,0.0,M,<=1L,N,CAT,27.0,2.2914733127495963,132.0,132.0,132.0,2.7185868058398035,0.0,0.09,1.0,10.0,3.0,0.0
4506,49955758,N,0.0,F,<=1L,N,CAT,34.0,1.6015207469884924,132.0,132.0,132.0,2.7185868058398035,0.0,-0.1,1.0,127.0,3.0,0.0
4508,50862896,Y,0.0,M,<=1L,N,CAT,20.0,0.1559058472985603,132.0,132.0,3.0142807625945625,3.0142807625945625,0.0,0.82,1.0,147.0,3.0,0.0
4530,66221912,N,0.0,M,<=1L,N,CAT,20.0,2.587167269504356,132.0,132.0,2.882861226259114,2.784296574007528,0.0,0.5,1.0,59.0,6.0,0.0
4918,50182045,N,0.0,M,<=1L,N,CAT,18.0,0.3530351518017329,132.0,132.0,2.784296574007528,2.784296574007528,0.0,0.28,1.0,31.0,7.0,0.0
4942,92918102,N,0.0,M,1_5L,N,CAT,27.0,1.1086974857305611,132.0,132.0,132.0,2.784296574007528,0.0,176.64,1.0,38.0,5.0,0.0
4985,92898475,Y,0.0,M,5_10L,N,Franchisee,37.0,2.9485709944268383,132.0,132.0,2.9814258785107004,2.7514416899236656,0.0,-192.12,1.0,212.0,38.0,0.0
5004,85453749,N,0.0,M,<=1L,N,CAT,31.0,0.1559058472985603,132.0,132.0,2.882861226259114,3.1128454148461486,0.0,0.19,1.0,1845.0,8.0,0.0
5323,84063977,N,0.0,M,<=1L,N,CAT,27.0,2.7185868058398035,132.0,132.0,2.7514416899236656,2.7514416899236656,0.0,0.58,1.0,12.0,5.0,0.0
5400,10321284,Y,0.0,M,<=1L,N,CAT,21.0,0.1559058472985603,132.0,132.0,2.882861226259114,2.882861226259114,0.0,0.56,1.0,147.0,3.0,0.0
5417,18672867,N,0.0,M,<=1L,N,CAT,22.0,2.094344008246424,132.0,132.0,2.784296574007528,2.7514416899236656,0.0,0.59,1.0,45.0,4.0,0.0
5510,70787376,N,0.0,M,<=1L,N,CAT,25.0,2.3571830809173204,132.0,132.0,132.0,2.784296574007528,0.0,-5.07,1.0,22.0,3.0,0.0
5630,36285106,Y,0.0,M,<=1L,N,CAT,21.0,1.1086974857305611,132.0,132.0,2.7185868058398035,2.7185868058398035,0.0,0.23,1.0,42.0,3.0,0.0
5675,84226229,Y,0.0,F,<=1L,N,CAT,63.0,1.8972147037432512,132.0,132.0,2.882861226259114,132.0,0.0,0.26,1.0,3899.0,363.0,0.0
5703,16323776,Y,0.0,F,<=1L,N,CAT,25.0,2.19290866049801,132.0,132.0,2.784296574007528,2.7514416899236656,0.0,-3.76,1.0,36.0,5.0,0.0
5705,17189128,N,0.0,M,<=1L,N,CAT,20.0,0.3530351518017329,132.0,132.0,2.784296574007528,2.7514416899236656,0.0,-3.66,1.0,67.0,5.0,0.0
5775,42644236,N,0.0,M,<=1L,N,CAT,20.0,2.587167269504356,132.0,132.0,132.0,2.7514416899236656,0.0,-9.44,1.0,29.0,3.0,0.0
5957,60212176,N,0.0,M,<=1L,N,others,29.0,1.2401170220660094,132.0,132.0,2.9814258785107004,2.882861226259114,886.0,53.38,1.0,72.0,4.0,0.0
6036,84762993,N,0.0,M,<=1L,N,CAT,24.0,0.1559058472985603,132.0,132.0,2.7514416899236656,2.7185868058398035,0.0,0.48,1.0,32.0,5.0,0.0
6114,32713789,N,0.0,M,<=1L,N,CAT,19.0,2.7514416899236656,132.0,132.0,2.7514416899236656,2.7514416899236656,0.0,0.28,1.0,37.0,4.0,0.0
6195,75347425,Y,0.0,F,<=1L,N,CAT,29.0,2.685731921755941,132.0,132.0,132.0,2.7514416899236656,0.0,0.55,1.0,19.0,4.0,0.0
6270,17087066,N,0.0,M,<=1L,N,CAT,24.0,2.7185868058398035,132.0,132.0,132.0,2.7514416899236656,0.0,0.91,1.0,7.0,3.0,0.0
6322,62802273,Y,0.0,M,<=1L,N,CAT,22.0,1.1086974857305611,132.0,132.0,132.0,2.7514416899236656,0.0,0.65,1.0,93.0,3.0,0.0
6396,17582532,N,0.0,M,<=1L,N,CAT,19.0,0.7144388767242159,132.0,132.0,2.7514416899236656,2.7185868058398035,0.0,-23.98,1.0,88.0,7.0,0.0
6409,24180443,Y,0.0,M,<=1L,N,CAT,30.0,0.5501644563049055,132.0,132.0,132.0,2.7514416899236656,0.0,0.05,1.0,54.0,3.0,0.0
6453,46570547,N,0.0,M,<=1L,N,CAT,21.0,0.6487291085564918,132.0,132.0,2.7185868058398035,132.0,0.0,0.78,1.0,71.0,8.0,0.0
6488,59559667,N,0.0,M,<=1L,N,CAT,29.0,0.2873253836340088,132.0,132.0,132.0,2.784296574007528,0.0,-85.68,1.0,169.0,3.0,0.0
6591,98189183,Y,0.0,M,<=1L,N,CAT,20.0,1.5358109788207683,132.0,132.0,132.0,2.7514416899236656,0.0,0.7,1.0,110.0,3.0,0.0
6608,63048682,Y,0.0,M,5_10L,N,Franchisee,19.0,0.1887607313824225,132.0,132.0,132.0,2.6528770376720794,0.0,64.04,1.0,269.0,24.0,0.0
6629,19889371,N,0.0,M,<=1L,N,CAT,33.0,2.685731921755941,132.0,132.0,132.0,2.7514416899236656,0.0,0.4,1.0,29.0,3.0,0.0
6637,24291076,Y,0.0,M,<=1L,N,CAT,22.0,2.488602617252769,132.0,132.0,2.784296574007528,2.784296574007528,0.0,0.1,1.0,29.0,5.0,0.0
6662,34132105,Y,0.0,M,<=1L,N,CAT,28.0,0.3530351518017329,132.0,132.0,132.0,2.784296574007528,0.0,0.48,1.0,141.0,18.0,0.0
6675,38944141,N,0.0,M,<=1L,N,CAT,33.0,0.2544704995501466,132.0,132.0,132.0,2.784296574007528,0.0,-541.53,1.0,81.0,7.0,0.0
6803,92382369,N,0.0,M,<=1L,N,CAT,19.0,1.3058267902337335,132.0,132.0,2.784296574007528,2.784296574007528,0.0,0.59,1.0,61.0,12.0,0.0
6841,93027961,N,0.0,M,<=1L,N,CAT,21.0,2.7185868058398035,132.0,132.0,132.0,2.7185868058398035,0.0,-32.95,1.0,7.0,4.0,0.0
6962,76058743,N,0.0,M,<=1L,N,CAT,19.0,2.4228928490850445,132.0,132.0,2.7185868058398035,2.7185868058398035,0.0,0.41,1.0,23.0,4.0,0.0
7331,95549490,N,0.0,M,5_10L,N,CAT,30.0,0.1887607313824225,132.0,132.0,2.9485709944268383,2.7185868058398035,0.0,266.9,0.0,112.0,12.0,0.0
7703,MPATE548,N,1.0,M,5_10L,N,Franchisee,45.0,2.784296574007528,132.0,132.0,132.0,2.685731921755941,0.0,936.32,0.0,30.0,16.0,0.0
8050,13551398,Y,0.0,M,<=1L,N,CAT,32.0,1.798650051491665,132.0,132.0,132.0,2.7514416899236656,0.0,0.36,1.0,5.0,3.0,0.0
8064,31933960,N,0.0,M,<=1L,N,CAT,22.0,0.385890035885595,132.0,132.0,2.7514416899236656,2.7514416899236656,0.0,0.99,1.0,38.0,5.0,0.0
8191,38946732,N,0.0,F,<=1L,N,CAT,38.0,2.3243281968334584,132.0,132.0,2.7514416899236656,2.7514416899236656,0.0,0.67,1.0,10.0,4.0,0.0
8666,AY011074,Y,0.0,M,5_10L,N,Premia,47.0,2.554312385420493,132.0,3.1128454148461486,132.0,2.7185868058398035,0.0,-0.25,1.0,38.0,8.0,0.0
8695,BANSIKJR,Y,0.0,M,<=1L,N,Premia,67.0,0.1559058472985603,132.0,132.0,132.0,2.7185868058398035,0.0,0.05,1.0,210.0,3.0,0.0
8740,BOBBY149,N,0.0,F,<=1L,N,Franchisee,45.0,0.2216156154662845,132.0,132.0,132.0,2.7185868058398035,0.0,0.11,1.0,80.0,5.0,0.0
8790,CVARALAK,N,1.0,M,<=1L,N,Premia,67.0,1.207262137982147,132.0,132.0,2.9485709944268383,2.7185868058398035,2204360.0,-272.38,0.0,133.0,14.0,0.0
8995,KOMSIN11,N,0.0,M,<=1L,Y,CAT,28.0,132.0,132.0,132.0,132.0,2.685731921755941,0.0,-80.19,0.0,0.0,3.0,0.0
8997,KOTHAMA8,N,0.0,F,<=1L,N,Premia,47.0,0.2873253836340088,132.0,132.0,132.0,2.685731921755941,0.0,0.99,1.0,47.0,3.0,0.0
9020,KSTKALRA,N,0.0,M,<=1L,N,Premia,26.0,0.3201802677178708,132.0,132.0,132.0,2.685731921755941,90.0,0.23,1.0,231.0,3.0,0.0
9023,KTNISHAN,N,0.0,M,<=1L,N,Premia,44.0,1.2729719061498714,132.0,132.0,132.0,2.7185868058398035,0.0,0.43,1.0,41.0,13.0,0.0
9299,PRAT4218,N,0.0,M,<=1L,N,Franchisee,26.0,0.5501644563049055,132.0,132.0,132.0,2.7185868058398035,0.0,-28.23,1.0,24.0,3.0,0.0
9320,PRIVI132,N,0.0,M,5_10L,N,Franchisee,32.0,0.1559058472985603,132.0,132.0,132.0,2.7185868058398035,0.0,37963.56,1.0,63.0,11.0,0.0
9954,YRG00001,N,0.0,M,<=1L,N,Franchisee,38.0,0.1559058472985603,132.0,132.0,132.0,2.7514416899236656,0.0,10004.16,1.0,321.0,6.0,0.0
9990,20921959,Y,0.0,M,<=1L,N,CAT,25.0,0.4187449199694571,132.0,132.0,2.7185868058398035,2.7185868058398035,0.0,0.4,1.0,42.0,3.0,0.0
10112,11161834,Y,0.0,M,<=1L,N,CAT,19.0,0.5830193403887676,132.0,132.0,132.0,2.7185868058398035,0.0,-75.12,1.0,61.0,4.0,0.0
10141,23890917,N,0.0,M,<=1L,N,CAT,35.0,0.1559058472985603,132.0,132.0,2.7185868058398035,2.7185868058398035,0.0,0.92,1.0,220.0,5.0,0.0
10481,71137850,N,0.0,M,<=1L,N,CAT,20.0,0.1559058472985603,132.0,132.0,2.685731921755941,2.685731921755941,0.0,0.83,1.0,157.0,3.0,0.0
10500,CS641863,Y,0.0,M,5_10L,N,Franchisee,29.0,0.1559058472985603,132.0,132.0,132.0,2.685731921755941,0.0,187746.92,1.0,363.0,101.0,0.0
10592,96148664,N,0.0,M,<=1L,N,CAT,24.0,1.1744072538982853,132.0,132.0,2.685731921755941,2.685731921755941,0.0,0.26,1.0,13.0,3.0,0.0
10701,80365116,N,0.0,F,<=1L,N,CAT,45.0,2.685731921755941,132.0,132.0,2.685731921755941,2.685731921755941,0.0,0.19,1.0,7.0,4.0,0.0
10872,10796298,N,0.0,M,<=1L,N,CAT,28.0,0.1559058472985603,132.0,132.0,132.0,2.6528770376720794,0.0,10.05,1.0,194.0,2.0,0.0
10927,59171614,Y,0.0,M,<=1L,N,CAT,34.0,2.127198892330286,132.0,132.0,2.6528770376720794,2.6528770376720794,0.0,0.14,1.0,24.0,4.0,0.0
10928,59919527,N,0.0,M,<=1L,N,CAT,22.0,1.864359819659389,132.0,132.0,2.685731921755941,2.6528770376720794,0.0,0.09,1.0,11.0,3.0,0.0
11135,19244644,N,0.0,M,<=1L,N,CAT,23.0,0.2544704995501466,132.0,132.0,2.6528770376720794,2.6528770376720794,0.0,-195.88,1.0,29.0,4.0,0.0
11144,86858222,N,0.0,M,<=1L,N,CAT,36.0,1.1086974857305611,132.0,132.0,2.6528770376720794,2.6528770376720794,0.0,0.25,1.0,47.0,3.0,0.0
11151,MONBHAKT,Y,0.0,M,5_10L,N,GL Investments,29.0,0.6158742244726296,132.0,132.0,132.0,2.6528770376720794,0.0,2.23,1.0,81.0,3.0,0.0
11251,36563759,N,0.0,F,<=1L,N,CAT,21.0,0.9444230653112506,132.0,132.0,2.6528770376720794,2.6528770376720794,0.0,-0.13,1.0,9.0,3.0,0.0
11265,62480422,N,0.0,M,<=1L,N,CAT,29.0,1.1744072538982853,132.0,132.0,132.0,2.6528770376720794,0.0,0.32,1.0,35.0,2.0,0.0
11301,88526824,Y,0.0,M,5_10L,N,Franchisee,73.0,2.2914733127495963,132.0,3.8027979806072527,132.0,2.554312385420493,0.0,-6.49,1.0,271.0,326.0,0.0
11400,92386803,Y,0.0,M,<=1L,N,CAT,30.0,0.1559058472985603,132.0,132.0,132.0,2.554312385420493,0.0,0.95,1.0,323.0,2.0,0.0
11416,11055536,N,0.0,M,<=1L,N,CAT,35.0,0.1559058472985603,132.0,132.0,132.0,2.554312385420493,0.0,0.82,1.0,69.0,2.0,0.0
11442,41065212,Y,0.0,M,<=1L,N,CAT,31.0,1.0758426016466989,132.0,132.0,2.554312385420493,2.554312385420493,0.0,0.79,1.0,15.0,3.0,0.0
11449,69619200,N,0.0,M,<=1L,N,Franchisee,25.0,0.4844546881371813,132.0,132.0,3.375684487517045,2.554312385420493,0.0,0.18,1.0,609.0,124.0,0.0
11475,47769816,N,0.0,M,<=1L,N,CAT,23.0,0.1559058472985603,132.0,132.0,2.554312385420493,2.554312385420493,0.0,0.83,1.0,40.0,4.0,0.0
11587,20077310,N,0.0,M,<=1L,N,CAT,36.0,2.554312385420493,132.0,132.0,132.0,2.554312385420493,0.0,0.45,1.0,11.0,2.0,0.0
11595,23544767,N,0.0,F,<=1L,N,CAT,21.0,2.2586184286657343,132.0,132.0,132.0,2.554312385420493,0.0,0.7,1.0,5.0,2.0,0.0
11748,90985370,N,0.0,M,<=1L,N,CAT,20.0,2.521457501336631,132.0,132.0,2.554312385420493,2.554312385420493,0.0,0.44,1.0,39.0,5.0,0.0
11826,RD000061,N,0.0,M,<=1L,N,Franchisee,30.0,0.2544704995501466,132.0,132.0,3.474249139768632,2.554312385420493,0.0,-8.3,1.0,327.0,40.0,0.0
11844,48232638,Y,0.0,M,5_10L,N,Franchisee,31.0,1.0429877175628368,132.0,132.0,2.685731921755941,2.521457501336631,0.0,0.47,1.0,49.0,5.0,0.0
11876,13725310,N,0.0,M,<=1L,N,CAT,65.0,2.521457501336631,132.0,132.0,2.521457501336631,2.521457501336631,0.0,0.07,1.0,5.0,3.0,0.0
11949,19920640,Y,0.0,M,<=1L,N,CAT,19.0,1.470101210653044,132.0,132.0,2.521457501336631,2.521457501336631,0.0,0.14,1.0,49.0,4.0,0.0
12056,29838519,N,0.0,F,<=1L,N,CAT,44.0,2.521457501336631,132.0,132.0,132.0,2.521457501336631,0.0,-0.57,1.0,3.0,3.0,0.0
12113,36108509,Y,0.0,M,<=1L,N,CAT,20.0,0.1559058472985603,132.0,132.0,132.0,2.521457501336631,0.0,0.63,1.0,57.0,2.0,0.0
12236,47800315,N,0.0,M,<=1L,N,CAT,20.0,0.9115681812273884,132.0,132.0,132.0,2.521457501336631,0.0,-23.87,1.0,35.0,3.0,0.0
12296,53878787,N,0.0,M,<=1L,N,CAT,26.0,0.4515998040533192,132.0,132.0,2.521457501336631,2.521457501336631,0.0,-239.16,1.0,43.0,6.0,0.0
12318,55580783,N,0.0,M,<=1L,N,CAT,20.0,2.488602617252769,132.0,132.0,2.521457501336631,2.521457501336631,0.0,0.49,1.0,34.0,5.0,0.0
12463,69501212,Y,0.0,M,<=1L,N,CAT,33.0,1.1086974857305611,132.0,132.0,2.521457501336631,132.0,0.0,-267.26,1.0,95.0,17.0,0.0
12486,72001200,N,0.0,M,<=1L,N,CAT,27.0,0.1559058472985603,132.0,132.0,2.521457501336631,2.521457501336631,0.0,0.95,1.0,53.0,3.0,0.0
12684,89939173,N,0.0,M,<=1L,N,CAT,22.0,0.8458584130596644,132.0,132.0,2.521457501336631,2.521457501336631,0.0,0.16,1.0,16.0,3.0,0.0
12711,92889521,N,0.0,M,<=1L,N,CAT,25.0,2.2914733127495963,132.0,132.0,2.521457501336631,2.521457501336631,0.0,0.24,1.0,11.0,6.0,0.0
12760,95957156,Y,0.0,M,<=1L,N,CAT,31.0,0.1559058472985603,132.0,132.0,2.521457501336631,2.521457501336631,0.0,0.11,1.0,55.0,3.0,0.0
12882,27319174,N,0.0,M,<=1L,N,CAT,19.0,0.4844546881371813,132.0,132.0,132.0,2.521457501336631,0.0,0.48,1.0,47.0,2.0,0.0
13009,60250703,N,0.0,M,<=1L,N,CAT,19.0,0.1887607313824225,132.0,132.0,2.521457501336631,2.521457501336631,0.0,0.74,1.0,52.0,8.0,0.0
13029,64070023,N,0.0,F,<=1L,N,CAT,19.0,2.3900379650011825,132.0,132.0,2.521457501336631,2.521457501336631,0.0,0.42,1.0,15.0,5.0,0.0
13034,65607473,N,0.0,M,<=1L,N,CAT,30.0,0.8787132971435264,132.0,132.0,2.521457501336631,2.521457501336631,0.0,0.14,1.0,311.0,3.0,0.0
13149,89528084,Y,0.0,M,<=1L,N,CAT,31.0,1.1086974857305611,132.0,132.0,2.521457501336631,2.521457501336631,0.0,0.77,1.0,99.0,5.0,0.0
13209,99626776,Y,0.0,M,<=1L,N,CAT,33.0,1.470101210653044,132.0,132.0,132.0,2.521457501336631,0.0,-149.8,1.0,38.0,3.0,0.0
13215,28785555,Y,0.0,M,5_10L,N,Franchisee,53.0,0.4187449199694571,132.0,4.295621241865184,4.39418589411677,2.521457501336631,0.0,-864.98,1.0,200.0,113.0,0.0
13280,84225450,N,0.0,M,<=1L,N,CAT,40.0,1.7000853992400786,132.0,132.0,2.521457501336631,2.521457501336631,0.0,0.17,1.0,14.0,3.0,0.0
13502,20501284,Y,0.0,M,5_10L,N,Premia,54.0,2.521457501336631,132.0,132.0,132.0,2.521457501336631,0.0,111.33,1.0,174.0,20.0,0.0
13549,25982959,N,1.0,M,5_10L,N,CAT,37.0,0.4187449199694571,132.0,132.0,132.0,2.521457501336631,0.0,-3.05,0.0,100.0,4.0,0.0
13840,62637986,N,0.0,M,<=1L,N,CAT,33.0,0.385890035885595,132.0,132.0,2.521457501336631,2.554312385420493,0.0,2.09,1.0,919.0,27.0,0.0
13883,65301790,N,1.0,F,5_10L,N,Franchisee,74.0,2.3571830809173204,132.0,132.0,2.6528770376720794,2.521457501336631,0.0,1053.41,0.0,18.0,7.0,0.0
13973,73040915,N,0.0,M,<=1L,N,CAT,23.0,0.1887607313824225,132.0,132.0,132.0,2.521457501336631,498.0,1435.49,0.0,291.0,4.0,0.0
14071,79720586,N,0.0,M,<=1L,N,CAT,22.0,0.2544704995501466,132.0,132.0,2.521457501336631,2.521457501336631,0.0,0.45,1.0,57.0,4.0,0.0
14257,90217697,N,0.0,M,<=1L,N,CAT,41.0,0.6815839926403539,132.0,132.0,132.0,2.521457501336631,0.0,0.95,1.0,24.0,4.0,0.0
14392,96296215,N,0.0,M,<=1L,N,CAT,23.0,0.1559058472985603,132.0,132.0,132.0,2.521457501336631,0.0,-0.32,1.0,979.0,2.0,0.0
14664,ANIRASIK,N,1.0,M,5_10L,N,CAT,45.0,132.0,132.0,132.0,132.0,2.521457501336631,0.0,24.37,0.0,12.0,7.0,0.0
